id,retweetCount,replyCount,likeCount,quoteCount,viewCount,createdAt,bookmarkCount,author,tweet_length,clean_text,topic,text
2058239245148651767,0,0,0,0,2,2026-05-23,0,ensivo,230,kondisi negara udah benar bener diluar nalar sumatra blackout jabodetabek begal teror pocong papua pesta babi ihsg rupiah melemah mbg kopdes bencana banjir aceh pulih apasih apaan,0,
2058239197652406671,0,0,0,0,2,2026-05-23,0,natachaintikk,71,ciecie joong jadi rupiah banget didepan bininya,3,
2058239004710158506,0,0,0,0,0,2026-05-23,0,3JSPACE,63,membeli semua make up konser rupiah co pake sopi ibu,9,
2058238886363668815,0,1,0,0,2,2026-05-23,0,rainy_snowflake,122,nilai tukar rupiah disamain sama yen gitu biar pusing ngitung2nya 600rb tuh serasa gimana gitu,-1,
2058238081271308426,0,0,0,0,3,2026-05-23,0,zss0ur,35,aduh aku bacanya ikutan kaya rupiah,3,
2058237966309613886,0,0,0,0,5,2026-05-23,0,voulGare,70,mau ngomong kangen mikir sampe rupiah sekuat dollar singapura,3,
2058237951377805472,0,0,0,0,4,2026-05-23,0,meliksuman74092,207,berapa trilyun rupiah disumbangkan olh danantara pemerintah apbn zero transparansi danantara tranparan hasil audit bpk thd laporan keuangan danantara,-1,
2058237793986556403,0,0,0,0,0,2026-05-23,0,Jinniejuiceyo,41,untung beli membership rupiah ekhem,-1,
2058237313441030174,0,0,0,0,12,2026-05-23,0,warmestarms,76,males encok sini rupiah,3,
2058236758228378007,0,0,0,0,0,2026-05-23,0,RRubyverse,37,kaki kalandra rupiah,3,
2058236684404482366,1,0,0,0,40,2026-05-23,0,xryoumen,135,gacha beginian warga negara indo pull 600k rupiah dapet umr jakarta sampe alias pemerintah anjg,22,
2058236658601066568,0,0,0,0,7,2026-05-23,0,Latenightdrive4,90,ternyata cuma rupiah melemah fisch ikut ikutan mata uangnya lemah kwkwowkwowkwowki,3,
2058236085575320061,0,0,0,0,10,2026-05-23,0,fisipstroberry,87,hah rupiah melemah anj banget langganan capcut ikutan naik,3,
2058235750941094234,0,0,0,0,16,2026-05-23,1,guci_marbawi,291,aman kalau mahasiswa demo alim ulama tidur kekenyangan cerdik pandai adu pintar menjilat rakyat diam timbun harta teruuusss korupsi n ttteruuusss rupiah keok anjlok joget terusss oke gas oke gas oke gaassss,15,
2058235492739788807,0,0,1,0,15,2026-05-23,0,piy0816_backup,277,testimoni proofbypiy testibypiy transfer idr rupiah to php peso peso tag transfer exchange money changer currency ww idr rupiah indonesia peso peso philippines usd us dollar ringgit malaysia rm singapore sgd thai thailand baht trusted,0,
2058235143261974625,0,0,0,0,8,2026-05-23,0,sicikenaget,145,liat kondisi aceh pulih smp skrg pilu liat hutan dibabat habis pilu lihat anak2 keracunan mbg pilu liat rupiah anjlok pilu,-1,
2058235120021365200,0,1,0,0,3,2026-05-23,0,wayyfi,56,rupiah meredup rambut tetep hrus menyala,3,
2058234871462646085,0,1,0,0,23,2026-05-23,0,ajuytelkomsel,51,leave bentar sinyal kayak rupiah lemah,3,
2058234714553737642,0,0,0,0,6,2026-05-23,0,wmngyl,78,juta triliun rupiah dolar yen won ak belikan buat kk mai,-1,
2058234565291032629,0,0,1,0,25,2026-05-23,0,AbidinM12,293,mmg tak kerja org kalau soal pidato numero uno kek gini br byk alesan bgnlah bgtah smg smua dana asing dlm bentuk saham obligasi kabur biar tau rasa mmprihatinkan mlihat si omon rupiah tak brkutik trhdap dolar bgmna mgkn soal diatasi,3,
2058234497372753994,0,0,0,0,13,2026-05-23,0,paleeisme,33,poni jatuh mulu kek nilai rupiah,3,
2058234335082479896,0,0,0,0,0,2026-05-23,0,masruri956867,36,ayo 20rb rupiah kamu ayo,3,
2058234096032346203,0,0,0,0,7,2026-05-23,0,reiefiera,28,gamau mati bersama rupiah,3,
2058234064700862687,0,0,0,1,96,2026-05-23,0,northernville,158,abang adek kapan japang tunggu rupiah menguat tercipta lapangan kerja buat adek sama abang baru jepang,0,
2058233946656456973,1,0,0,0,36,2026-05-23,0,an0thersidy,137,pgn dubai cuki biji plis knp mahal banget si kalau sribu aku beli jt milyar rupiah knp hrus beli kan smua dubai cuki milik allah,-1,
2058233624500302333,0,1,2,0,14,2026-05-23,0,kenaankiri,45,rupiah sama celana tenxi rendahan rupiah,3,
2058233596989915246,0,1,0,0,8,2026-05-23,0,hudahanifah,34,yah lemah kaya rupiah,3,
2058233356169699467,0,1,3,0,305,2026-05-23,0,ciciwtata,68,kan liat tata cidera gini jadi lemah kaya rupiah,-1,
2058233300553257443,0,0,0,0,25,2026-05-23,0,Hunbunsweetyy,205,hell nh abg hbs nikah rupiah sekali nol rupiah ngasih duit emak bapakny adek2nya santai bae palagi gaji 3jt tuh sedikit anj kalau kata lu sufor murah mana shibal,-1,
2058233196203094158,1,1,0,0,35,2026-05-23,0,Akuhrsottokeh,107,ah boi bagaimana mw pacaran sama dru kalau jd pacar cuma pap gtu ak ajhh kakimu lgsg melemah kek rupiah,3,
2058233121775268135,0,0,0,0,1,2026-05-23,0,tahananlapass,107,juta menikah punya istri anak jaman rupiah nyentuh 8k per satu dolar dimintain ortunya,5,
2058233012769411413,0,0,1,0,45,2026-05-23,0,nattawaatji,146,mendadak rupiah banget anjirr shdksojd gilaaa gemfot makasih geminifourth heart race lolfanfest2026d2,-1,
2058232190107029864,0,0,0,0,25,2026-05-23,0,AhSayoon,128,eh apaansi modus kriminal jadi pocong semua gini deh rupiah melemah berdampak timggi kriminal,-1,
2058232173896020172,0,0,0,0,29,2026-05-23,0,enola_fille,84,hmmm masuk akal sih nutupin berita rupiah lemah kan,3,
2058232123010752589,0,1,1,0,9,2026-05-23,0,Scrybill,134,setres banyak banget pengen pc rupiah jelek banget anjir penganguran apa,15,
2058231661930906040,0,0,0,0,5,2026-05-23,0,kilaaamisu,56,gamonnn terosss rupiah lu noh mau delapan belas rebuuuu,3,
2058231606238904388,0,1,0,0,18,2026-05-23,0,sungsbamb,78,yaudah terjang lemahnya rupiah tsb,3,
2058230712512467404,0,3,0,0,57,2026-05-23,0,eomjjyaeyo,264,praying circle cortis wt rupiah anjlok,3,
2058229879129428117,0,0,0,0,5,2026-05-23,0,SABllT,91,sispa diganggu in this economy mentalnya enggak kayak rupiah,-1,
2058229810418356622,0,0,0,0,4,2026-05-23,0,tetehnyawoozi,153,udah bertahun tahun suka bahas gini banyak keras kepala konversi rupiah biar kelihatan tinggal indonesia murah miris,0,
2058229666494943683,0,0,0,0,11,2026-05-23,0,ahyrora,60,income aku dollar serempak pejuang rupiah menoleh iri,3,
2058229138817941559,0,1,0,0,430,2026-05-23,0,muhammad_kummul,182,rupiah melemah karna faktor global minyak naik geopolitik timur tengah kan bi intervensi prabowo jg efisiensi anggaran buat alihin program rakyat,17,
2058228855157178775,0,0,0,0,34,2026-05-23,0,percikan2018id,315,teori realiita jauh panggang api sepupu gwe punya pabrik cirebon kantor pemasaranya saudara pancoran jaksel rencana export batu alam riyadh saudi menggantung biaya tetek beng k indonesia melebihi harga pokok rupiah terus longsor,1,
2058228664891003122,0,0,0,0,29,2026-05-23,0,reaaaast,237,ngobrol intens sama orang menuju tahap pdkt fokusnya cuma satu ngobrolnya cuma sama mikirin udah bikin sakit kepala sedih guys maaf banget mah rupiah kalah lemah,3,
2058228471701377339,0,1,0,0,8,2026-05-23,0,seeyaa09,100,rupiah makin lemah laki2 kpop lu menuntut utk dinafkahi,-1,
2058228424188260771,0,0,0,0,12,2026-05-23,0,pjjeongz_,92,baru buka yt baca judul berbau rupiah sensitif banget,3,
2058228314922467787,0,0,0,0,13,2026-05-23,0,oliviacha63,33,rupiah melemah russell menguat,3,
2058227922230808827,0,0,0,0,12,2026-05-23,0,WestsideHour,291,pertama kali ngedate dd ngedate sama siapa nak waduuh pantau terus kalau kerja westside takutnya malah sibuk ngedate bukan bikin kopi eey seribu rupiah berharga dd mental pengusaha aih terharu banget bacanya terima kasih yaa anak manis,-1,
2058227485423358016,0,0,0,0,5,2026-05-23,0,anotherliiy,58,jangan jangan tsrget selanjutnya rupiah rp19,3,
2058227260549947752,0,0,0,0,9,2026-05-23,0,pourkyeomxhan,57,makasi kuruskerinq starzcelz semoga rupiah menguat,3,
2058227201217270126,0,0,0,0,80,2026-05-23,0,hjalmunawar,201,serangan cyber serupa terjadi venezuela penculikan maduro terkait pelemahan ekonomi rupiah publikasi media2 internasional menyudutkan pemerintah,-1,
2058227034472775957,0,0,0,0,6,2026-05-23,0,mysonezen,149,dicapai harga2 naik dollar naik rupiah melemah apbn tekor demokrasi mundur kepastian hukum hilang kkn merajalela,-1,
2058226855732539898,0,1,0,0,33,2026-05-23,0,rubyzarre,274,etminnn kok akunnya ilangggg etmin please comeback to meeeee etmin iloveyou to the moon n backkkk etminnn separuh nafasku karyamuuuu jgn tinggalkan aku etminnnn aku baru follow kok akunnya langsung ilang etminnn hatiku selemah nilai rupiah etminnn jgn sakiti aku etminnn,3,
2058226354890719546,0,1,0,0,20,2026-05-23,0,limjiannnn,255,aku baru ngerasain selesai semua packing sharing season greeting tahun yellowboard a4 harga sini an per pcs butuh pcs kardus ukuran 35x25 harga satuannya rupiah aku setting includ admin,-1,
2058226092432138334,0,0,0,0,7,2026-05-23,0,youremyeverglow,82,dah tiap denger love wins all nangis mulu lemah banget hati kek rupiah,3,
2058225731965198370,0,0,0,0,152,2026-05-23,1,mas_milenials,50,poconglah begal lah pengalihan isu rupiah turun,3,
2058225638704857162,0,1,0,0,61,2026-05-23,0,oksanakala,67,apasihh anjirr ngablu bangett maksudnya dollar rupiah,-1,
2058225511143522351,0,0,0,0,26,2026-05-23,0,januaury,141,funfact bersyukur jastip pc pas rupiah se melemah skrg skrg naik blassss bath makin menguat comboo knp aku wni,3,
2058225416826196121,1,0,2,1,157,2026-05-23,0,oksanakala,122,jimmysea cuma pelukan sekali cuma pelukan rakyatnya udah kayak rupiah dolar dikasih gaji digit bjirrr,-1,
